id         ,dataset_id ,name                                                                                                ,data_type                                         ,definition                                                                                                                                                                                                                                                      ,is_pii,sample_data                                                                                                                                                                                                                                                     
-----------,-----------,----------------------------------------------------------------------------------------------------,--------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          1,          1,TransactionID                                                                                       ,INT                                               ,Unique identifier for the sale                                                                                                                                                                                                                                  ,     0,1001, 1002, 1003                                                                                                                                                                                                                                                
          2,          1,Amount                                                                                              ,DECIMAL(10,2)                                     ,Total value of the transaction                                                                                                                                                                                                                                  ,     0,$500.00, $120.50                                                                                                                                                                                                                                                
          3,          1,Sector                                                                                              ,VARCHAR(50)                                       ,Business sector (Marine, Land, Aviation, Nuclear)                                                                                                                                                                                                               ,     0,Marine, Land                                                                                                                                                                                                                                                    
          4,          1,Date                                                                                                ,DATETIME                                          ,Transaction timestamp                                                                                                                                                                                                                                           ,     0,2023-01-01 10:00:00                                                                                                                                                                                                                                             
       1002,          4,COMPANY                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1003,          4,VOUCHER_TYPE                                                                                        ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1004,          4,VOUCHER_NO                                                                                          ,bigint                                            ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1005,          4,ACCOUNT                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1006,          4,VOUCHER_DATE                                                                                        ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1007,          4,AMOUNT                                                                                              ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1008,          4,CURRENCY_CODE                                                                                       ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1009,          5,COMPANY                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1010,          5,ACCOUNT                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1011,          5,DESCRIPTION                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1012,          5,ACC_GROUP                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1013,          6,id                                                                                                  ,int                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1014,          6,CONTRACT                                                                                            ,varchar(5)                                        ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1015,          6,PART_NO                                                                                             ,varchar(25)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1016,          6,DESCRIPTION                                                                                         ,varchar(200)                                      ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1017,          6,UNIT_MEAS                                                                                           ,varchar(10)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1018,          6,TYPE_CODE                                                                                           ,varchar(20)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1019,          6,effective_date                                                                                      ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1020,          6,expiry_date                                                                                         ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1021,          6,is_current                                                                                          ,bit                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1022,          7,TRANSACTION_ID                                                                                      ,bigint                                            ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1023,          7,PART_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1024,          7,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1025,          7,QUANTITY                                                                                            ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1026,          7,DIRECTION                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1027,          7,SOURCE_REF1                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1028,          7,SOURCE_REF2                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1029,          7,SOURCE_REF3                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1030,          7,DATE_APPLIED                                                                                        ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1031,          8,ORDER_NO                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1032,          8,LINE_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1033,          8,RELEASE_NO                                                                                          ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1034,          8,PART_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1035,          8,BUY_QTY_DUE                                                                                         ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1036,          8,BUY_UNIT_PRICE                                                                                      ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1037,          8,PLANNED_RECEIPT_DATE                                                                                ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1038,          8,PROMISED_DELIVERY_DATE                                                                              ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1039,          8,ACTUAL_DELIVERY_DATE                                                                                ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1040,          8,DEMAND_CODE                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1041,          8,DEMAND_ORDER_NO                                                                                     ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1042,          8,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1043,          9,QUOTATION_NO                                                                                        ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1044,          9,LINE_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1045,          9,REL_NO                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1046,          9,PART_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1047,          9,PRICE                                                                                               ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1048,          9,QTY                                                                                                 ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1049,         10,QUOTATION_NO                                                                                        ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1050,         10,CUSTOMER_NO                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1051,         10,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1052,         10,DATE_ENTERED                                                                                        ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1053,         10,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1054,         10,PROBABILITY                                                                                         ,bigint                                            ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1055,         11,COMPANY                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1056,         11,POS_CODE                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1057,         11,POS_TITLE                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1058,         12,DOC_CLASS                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1059,         12,DOC_NO                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1060,         12,TITLE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1061,         13,DOC_CLASS                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1062,         13,DOC_NO                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1063,         13,DOC_SHEET                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1064,         13,DOC_REV                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1065,         13,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1066,         13,DT_CRE                                                                                              ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1067,         14,id                                                                                                  ,int                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1068,         14,CUSTOMER_NO                                                                                         ,varchar(20)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1069,         14,NAME                                                                                                ,varchar(100)                                      ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1070,         14,CATEGORY                                                                                            ,varchar(20)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1071,         14,effective_date                                                                                      ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1072,         14,expiry_date                                                                                         ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1073,         14,is_current                                                                                          ,bit                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1074,         15,COMPANY                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1075,         15,EMP_NO                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1076,         15,VALID_FROM                                                                                          ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1077,         15,AMOUNT                                                                                              ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1078,         15,CURRENCY_CODE                                                                                       ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1079,         16,id                                                                                                  ,int                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1080,         16,CONTRACT                                                                                            ,varchar(5)                                        ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1081,         16,PART_NO                                                                                             ,varchar(25)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1082,         16,DESCRIPTION                                                                                         ,varchar(200)                                      ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1083,         16,effective_date                                                                                      ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1084,         16,expiry_date                                                                                         ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1085,         16,is_current                                                                                          ,bit                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1086,         17,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1087,         17,LOCATION_NO                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1088,         17,WAREHOUSE_ID                                                                                        ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1089,         17,BAY_ID                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1090,         17,ROW_ID                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1091,         17,TIER_ID                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1092,         17,BIN_ID                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1093,         18,id                                                                                                  ,int                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1094,         18,ORDER_NO                                                                                            ,varchar(12)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1095,         18,DATE_ENTERED                                                                                        ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1096,         18,effective_date                                                                                      ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1097,         18,expiry_date                                                                                         ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1098,         18,is_current                                                                                          ,bit                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1099,         19,NCR_NO                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1100,         19,DESCRIPTION                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1101,         19,SEVERITY_ID                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1102,         19,TARGET_DATE                                                                                         ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1103,         19,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1104,         20,fact_id                                                                                             ,int                                               ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1105,         20,BUY_QTY_DUE                                                                                         ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1106,         20,load_date                                                                                           ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1107,         21,PM_NO                                                                                               ,bigint                                            ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1108,         21,PM_REVISION                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
